gene_symbol,UMAP 0,UMAP 1
ACTRT3,7.794416,8.185884
ACVR1,2.2840195,9.624338
ACVR1B,-0.072135895,11.218997
ACVR1C,-3.5823052,5.5432787
ACVR2A,-1.1434306,5.5889063
ACVRL1,0.44710824,12.319557
ACY1,9.610503,10.532198
ACY3,9.8153,10.797731
ACYP1,10.822532,6.887356
ACYP2,8.231832,6.8534465
ADA,9.018958,10.512009
ADA2,0.51596063,11.198556
ADAD1,6.5977397,7.9027405
ADAD2,7.6570706,12.822153
ADAL,0.28121108,7.7153153
ADAM11,-0.45510057,12.7964325
ADAM12,-3.5202239,8.211817
ADAM15,3.7274063,13.14099
ADAM17,0.21539843,6.8003726
ADAM18,4.549084,6.2104354
ADAM19,-2.204042,10.6951685
ADAM2,4.2092943,5.9645405
ADAM20,4.1180553,8.608338
ADAM21,4.3044086,9.246663
ADAM22,-4.044277,6.107641
ADAM23,-2.2642317,7.6371655
ADAM28,-2.8933055,6.099595
ADAM29,2.7200646,9.297394
ADAM30,3.0907764,9.376527
ADAM32,4.1760025,6.4745426
ADAM33,2.357306,13.271292
ADAM7,2.086179,6.488527
ADAM8,2.63309,13.501424
ADAM9,1.2421077,5.418734
ADAMDEC1,5.2971773,7.903819
ADAMTS1,-1.7326194,8.768134
ADAMTS10,-0.02543809,13.161057
ADAMTS12,-3.8724544,8.407732
ADAMTS13,-0.39202148,12.961545
ADAMTS14,-1.6422449,12.330961
ADAMTS15,-2.256454,11.423442
ADAMTS16,-0.6978503,11.733225
ADAMTS17,-2.4069793,10.995359
ADAMTS18,-2.0975564,8.960848
ADAMTS19,-1.3735178,8.607332
ADAMTS2,-3.123917,9.745463
ADAMTS20,-1.9982437,7.6165133
ADAMTS3,-2.0936391,6.801474
ADAMTS5,-4.2954535,7.4438853
ADAMTS6,-3.0759594,6.6672645
ADAMTS7,-1.7469985,12.426177
ADAMTS8,1.7462287,13.510288
ADAMTS9,-3.462882,8.26918
ADAMTSL1,-3.274575,9.573464
ADAMTSL2,1.1013683,13.58451
ADAMTSL3,-3.3196,8.49373
ADAMTSL4,0.8200152,13.225294
ADAMTSL5,5.083506,12.928246
ADAP1,6.057347,13.178935
ADAP2,4.4413257,11.139656
ADAR,-2.119452,10.194271
ADARB1,-2.5822966,9.929087
ADARB2,-3.8576758,9.174769
ADAT1,-1.1766675,9.953163
ADAT2,-2.020219,6.3141923
ADAT3,10.066628,11.950493
ADCK1,2.4615579,11.49005
ADCK2,5.0463567,12.915442
ADCK5,7.6475325,12.465057
ADCY10,-0.6891577,8.302263
ADCY2,-2.3253727,9.572844
ADCY3,-1.0988039,11.882762
ADCY4,1.3416481,12.981612
ADCY5,-3.239214,9.972984
ADCY6,-1.9264228,11.599284
ADCY7,-2.9300957,9.310769
ADCY8,-0.26689145,11.0401745
ADCY9,-3.3559437,10.096068
ADCYAP1,2.602995,8.877982
ADCYAP1R1,-2.4830937,10.009854
ADD1,0.48362744,11.710604
ADD2,-4.2759686,8.199363
ADD3,0.4725505,4.9331346
ADGB,-1.084706,6.525622
ADGRA1,0.7063844,13.370235
ADGRA2,-3.4045978,9.97096
ADGRA3,0.14824165,10.101959
ADGRB1,-1.8971193,12.369887
ADGRB2,-1.8792521,12.305803
ADGRB3,-1.9066979,7.501567
ADGRD1,-1.2247075,11.278342
ADGRD2,2.5128608,13.599873
ADGRE1,2.8216343,10.625387
ADGRE2,-3.0992107,8.835171
ADGRE3,5.266123,9.826303
ADGRE5,2.9666455,12.773643
ADGRF1,-0.96283054,7.705338
ADGRF3,0.39031234,11.245393
ADGRF4,3.1743047,9.70218
ADGRF5,-1.6376116,8.179173
ADGRG1,0.47011027,12.45727
ADGRG2,-0.13924253,8.6412115
ADGRG3,4.8361535,12.423013
ADGRG5,2.844428,12.538186
ADGRG6,-2.4519305,6.4247007
ADGRG7,2.5440876,6.867245
ADGRL1,-3.305262,10.517569
ADGRL2,-2.8048086,6.3279676
ADGRL4,2.4107287,5.102601
ADH1A,8.478617,7.946021
ADH1B,1.4049587,6.0492105
ADH1C,8.61763,7.9678497
ADH4,6.105759,6.836792
ADH5,4.319316,8.016814
ADH6,3.506161,9.695789
ADH7,5.2584267,6.1784406
ADHFE1,6.577208,9.07104
ADI1,5.428724,8.634121
ADIG,11.9202385,8.690121
ADIPOQ,0.16679633,9.528439
ADIPOR1,6.017683,10.425658
ADIPOR2,1.1140451,10.3172035
ADIRF,12.0542965,9.026603
ADK,5.2981815,5.864712
ADM,8.940136,10.030628
ADM2,0.6370337,13.116983
ADM5,11.475125,10.324393
ADNP,-3.2728572,8.201155
ADNP2,-1.3076006,9.52931
ADO,-0.42469192,8.779218
ADORA1,4.5399804,12.8549385
ADORA2A,5.038362,12.60947
ADORA2B,7.8202252,8.974597
ADORA3,7.7436666,8.618309
ADPGK,4.262471,10.319739
ADPRH,1.7527697,10.726129
ADPRM,7.754181,7.435562
ADPRS,8.799489,11.009626
ADRA1A,1.588135,11.253919
ADRA1B,5.501369,13.20119
ADRA1D,4.2160616,13.262158
ADRA2A,1.2742174,12.551547
ADRA2B,1.71551,12.783434
ADRA2C,6.7993,13.082797
ADRB1,3.3183868,11.539039
ADRB2,6.138889,9.63608
ADRB3,4.94841,12.709315
ADRM1,10.24551,10.938239
ADSL,0.37834972,9.65167
ADSS1,8.311644,10.644444
ADSS2,3.7101493,5.392103
ADTRP,7.1780925,7.4351573
AEBP1,1.1789533,13.422861
AEBP2,-0.41273,4.8481545
AEN,3.1119943,11.838283
AFAP1,-3.4043612,9.204108
AFAP1L1,-2.0511577,9.145689
AFAP1L2,1.6397378,10.94874
AFDN,-3.3443263,8.216427
AFF1,-4.3811207,7.7302647
AFF4,-3.949699,6.754935
AFG1L,-0.36776865,5.9666395
AFG3L2,3.149723,10.3252
AFM,6.149478,6.9284678
AFMID,8.149539,10.110644
AFP,4.640271,6.8381925
AFTPH,0.73990995,6.5737386
AGA,5.90932,6.985984
AGAP2,-1.774078,12.421736
AGAP3,1.9455987,13.581589
AGAP4,4.841518,11.046055
AGAP5,4.749613,11.147636
AGAP6,4.6760654,11.160918
AGAP9,5.0528727,10.975573
AGBL2,1.6997778,9.247308
AGBL3,1.7761316,7.7347713
AGBL4,3.2478802,9.960588
AGBL5,2.82028,12.10518
AGER,9.912944,10.324108
AGFG1,-3.7138038,5.872779
AGFG2,-0.6064338,12.133056
AGGF1,0.51541215,4.9997635
AGK,1.9717298,8.952684
AGL,-2.8727362,5.7520013
AGMAT,3.158338,11.161138
AGMO,4.448293,7.3107624
AGO4,-3.493146,7.8030486
AGPAT1,6.4328446,11.73269
AGPAT2,9.790779,11.831792
AGPAT3,-2.548301,9.961682
AGPAT4,-3.5166388,8.175363
AGPAT5,-0.43512,5.5103807
AGPS,-3.4138186,5.6947403
AGR2,7.6613936,7.5768743
AGR3,10.170616,6.765964
AGRN,-3.558283,10.434627
AGRP,12.458176,9.136059
AGT,6.5684676,11.040545
AGTPBP1,0.38534245,5.8836455
AGTR1,4.965242,8.439438
AGTR2,3.5310094,5.761112
AGTRAP,10.706004,10.617094
AGXT,3.6391733,12.077079
AGXT2,5.9324164,9.50051
AHCTF1,-3.5436847,5.9861283
AHCY,6.541066,11.407871
AHCYL1,1.2604103,9.95932
AHCYL2,-0.42621568,9.526454
AHDC1,-3.0332215,11.000489
AHI1,-1.7265928,6.0394464
AHR,-2.6942077,7.041507
AHRR,-1.9704677,11.205804
AHSA1,9.609516,8.76518
AHSG,8.683902,10.261728
AHSP,12.378694,7.7847433
AICDA,4.2189274,8.138724
AIDA,2.9790452,6.6057096
AIF1,11.475426,7.7672906
AIF1L,2.4020638,11.572221
AIFM1,5.93103,9.747523
AIFM2,2.8758037,11.909457
AIFM3,6.3709283,12.453285
AIG1,5.767987,8.116226
AIM2,8.257938,7.0994596
AIMP1,3.3498693,5.0361743
AIMP2,9.56628,8.883011
AIP,10.76613,10.287271
AIPL1,3.936404,11.783991
AIRE,4.9643946,13.124734
AJM1,-1.5585432,12.654385
AJUBA,1.0345949,10.291508
AK1,6.257984,11.896476
AK2,-1.6361241,8.349461
AK3,0.5256109,6.452987
AK4,-2.3911605,6.831075
AK4P3,6.7068753,9.241968
AK5,2.4210522,9.994889
AK6,5.937373,5.568183
AK7,2.1771264,6.7759194
AK8,8.923796,10.11292
AK9,-2.0858493,5.839123
AKAIN1,2.8360984,6.1692452
AKAP1,1.2903476,11.252692
AKAP10,0.8586573,8.340691
AKAP12,-3.7943728,7.727094
AKAP14,9.319684,7.109448
AKAP17A,2.9408004,12.805367
AKAP3,2.4435973,10.662404
AKAP4,4.1422353,10.073692
AKAP5,-2.3852675,5.730312
AKAP7,2.780877,6.2500143
AKAP8,1.5770903,10.977265
AKAP8L,7.0946536,11.964494
AKIP1,9.481517,9.132553
AKIRIN1,4.068334,8.975864
AKIRIN2,6.9702926,10.581098
AKNA,-3.0941427,10.667558
AKNAD1,3.1062846,9.542633
AKR1A1,9.496391,10.286661
AKR1B1,9.481164,9.612967
AKR1B10,8.319488,8.642079
AKR1B15,8.283594,8.788082
AKR1C1,-2.3257754,6.538048
AKR1C2,2.4213505,8.033365
AKR1C3,8.938085,7.872187
AKR1C4,9.121143,7.7512403
AKR1D1,4.521214,7.3893313
AKR1E2,8.329294,9.759096
AKR7A2,9.726887,11.002197
AKR7A3,10.018938,10.523877
AKT1,3.3724132,12.963744
AKT1S1,8.360935,12.500984
AKT2,-1.1270348,11.891944
AKT3,-2.786797,6.2644486
AKTIP,4.2642736,5.8977833
ALAD,3.2223039,10.981551
ALAS1,5.6733365,10.858146
ALAS2,7.376573,11.078544
ALB,5.5737247,7.9022794
ALCAM,0.1355984,4.9703426
ALDH16A1,2.8237607,13.480605
ALDH18A1,2.561173,10.785348
ALDH1A1,6.059343,7.936534
ALDH1A2,1.7344711,10.198164
ALDH1A3,2.1322417,10.04059
ALDH1B1,3.411379,11.007208
ALDH1L1,2.971582,12.49281
ALDH1L2,-2.9520457,6.5204926
ALDH2,-4.2458005,7.621584
ALDH3A1,9.451939,11.169258
ALDH3A2,1.499214,9.503756
ALDH3B1,4.283876,12.885404
ALDH3B2,4.6884546,12.856194
ALDH4A1,2.9931748,13.063195
ALDH5A1,-1.3117398,8.947466
ALDH6A1,-0.75676954,7.7844315
ALDH7A1,-0.091615915,8.30769
ALDH8A1,4.7350173,9.920965
ALDH9A1,4.9408298,9.1550255
ALDOA,9.441107,11.319122
ALDOB,4.8027115,8.537218
ALDOC,8.734307,10.294798
ALG1,1.3407398,11.234254
ALG10,3.422727,5.7978888
ALG11,-1.8605617,6.5082917
ALG12,-1.2041825,11.698768
ALG13,0.75670886,8.90039
ALG14,-4.0001082,6.2876477
ALG1L2,10.5324745,9.141972
ALG2,3.675235,8.94565
ALG3,8.942892,11.030301
ALG5,8.568045,6.689038
ALG6,2.440663,5.1724396
ALG8,7.504228,7.9496803
ALG9,-1.482358,7.696831
ALK,-2.2681038,11.226137
ALKAL1,8.348149,6.98416
ALKAL2,8.744336,7.85389
ALKBH1,4.251184,9.436295
ALKBH2,9.923891,9.235976
ALKBH3,8.779179,9.319594
ALKBH4,6.6011057,11.679896
ALKBH5,2.84014,12.004879
ALKBH6,10.955072,10.190664
ALKBH7,11.273402,10.437714
ALKBH8,1.2884732,5.616305
ALLC,8.838477,8.762461
ALOX12,5.5801573,11.916442
ALOX12B,5.252832,12.657338
ALOX15,4.5846,11.380577
ALOX15B,4.585915,12.467446
ALOX5,4.991994,11.657356
ALOX5AP,10.000336,6.5359173
ALOXE3,2.5995586,12.511573
ALPG,5.465147,13.088395
ALPI,3.098892,12.788547
ALPK1,-1.0724099,8.546634
ALPK2,-2.942314,7.904471
ALPL,5.227444,12.829718
ALPP,4.947355,13.108809
ALS2,-2.2009008,7.8718796
ALS2CL,-0.88185304,12.298512
ALX1,8.509792,7.668012
ALX3,7.5968986,12.092977
ALX4,-2.3910942,10.454274
ALYREF,10.675269,9.405005
AMACR,1.0472887,8.546603
AMBN,6.4884834,8.765962
AMBP,9.919935,9.64251
AMBRA1,-1.2330648,11.990908
AMD1,2.0686388,5.621901
AMDHD1,5.295799,8.654395
AMDHD2,2.7584937,13.223572
AMELX,11.018755,8.262851
AMELY,10.845197,8.390044
AMER1,-3.6263783,8.93285
AMER3,-2.2827659,11.116077
AMFR,1.5805659,11.07528
AMH,9.840072,12.064796
AMHR2,7.476687,11.791794
AMIGO1,-0.9758841,10.724351
AMIGO2,2.5558648,9.323517
AMIGO3,4.023975,13.457204
AMMECR1,-0.20864305,5.1928043
AMMECR1L,-0.2450032,9.807578
AMN,9.981987,11.998683
AMN1,5.727238,6.270687
AMOT,-3.9658353,8.208554
AMOTL1,-4.1732545,8.269823
AMOTL2,-0.89023244,11.354431
AMPD1,5.16108,9.449026
AMPD2,0.5975523,13.035061
AMPD3,0.5257827,10.193849
AMPH,2.5628731,10.633158
AMT,6.972408,11.317782
AMTN,8.873936,7.0041366
AMY1A,7.3639507,6.700014
AMY1B,7.3661723,6.728599
AMY1C,7.363492,6.721927
AMY2A,7.422734,6.7083855
AMY2B,7.4346347,6.754177
AMZ1,-3.3268745,10.297344
AMZ2,6.67463,9.134884
ANAPC1,-3.1581862,7.012572
ANAPC10,6.3125663,5.6515803
ANAPC11,11.957111,9.080296
ANAPC13,8.5125265,7.026611
ANAPC15,11.372452,8.848555
ANAPC16,2.7976215,9.209127
ANAPC2,4.944228,13.179004
ANAPC4,4.0396643,6.2337313
ANAPC5,4.2709312,10.336204
ANAPC7,3.1345375,10.307516
ANG,11.31561,8.336495
ANGEL1,-0.9306011,10.989806
ANGEL2,0.28116277,5.836216
ANGPT1,1.0315746,5.1710553
ANGPT2,-0.7929167,6.12367
ANGPT4,-0.22862835,11.582875
ANGPTL1,1.7659045,5.5337586
ANGPTL2,1.9119524,11.942417
ANGPTL3,3.1289108,5.016292
ANGPTL4,8.593493,12.099069
ANGPTL5,4.473706,5.3654714
ANGPTL6,8.929417,12.159832
ANGPTL7,5.54854,9.32108
ANGPTL8,11.750407,9.773206
ANHX,7.2007923,12.072398
ANK1,-3.146316,10.655211
ANKAR,0.25160268,5.8657665
ANKDD1A,3.2634487,9.1794815
ANKDD1B,4.48803,9.288706
ANKEF1,-0.84797376,6.574791
ANKFN1,-4.3070107,7.905138
ANKFY1,-3.120911,9.048455
ANKH,-4.0510454,7.969968
ANKHD1,-3.2114034,6.6934295
ANKHD1-EIF4EBP3,-3.1381798,7.0818014
ANKIB1,-1.7548376,6.8642135
ANKK1,4.9727254,12.739534
ANKLE1,3.5218694,12.596497
ANKLE2,-0.07021652,10.434649
ANKMY1,2.206874,12.692594
ANKMY2,4.6987147,7.696418
ANKRA2,5.4263253,7.7852306
ANKRD1,7.0515857,7.6422076
ANKRD10,4.6128597,9.315229
ANKRD11,-3.2993398,7.6981173
ANKRD13A,0.50304943,10.30163
ANKRD13B,1.6166221,13.631105
ANKRD13C,-0.5404924,4.98097
ANKRD13D,6.9368496,12.816723
ANKRD16,4.288627,12.123867
ANKRD18A,3.0843778,8.320001
ANKRD18B,1.1592294,4.8907676
ANKRD2,10.797414,10.296403
ANKRD20A1,0.7933185,4.797522
ANKRD22,1.2464728,6.136968
ANKRD23,5.1326265,12.798476
ANKRD24,1.4793692,13.562777
ANKRD26,-2.6006145,5.9095616
ANKRD27,0.2515838,10.729752
ANKRD28,-3.5419185,6.161886
ANKRD29,2.1608837,8.318227
ANKRD30A,0.1719876,6.4863396
ANKRD30B,-0.00592157,6.4168005
ANKRD30BL,8.676056,8.420137
ANKRD31,-1.9927112,5.82485
ANKRD33,7.893786,11.204184
ANKRD33B,-4.2088675,8.314144
ANKRD34A,1.4026598,12.83038
ANKRD34B,1.3725286,5.0893354
ANKRD34C,-1.4154112,7.9285207
ANKRD35,2.9400618,12.726249
ANKRD36,-2.3497624,6.1059384
ANKRD36B,1.2208402,6.8978105
ANKRD36C,0.32308808,6.6386547
ANKRD37,10.915912,7.568119
ANKRD39,11.033551,9.767365
ANKRD40,0.48697004,10.217105
ANKRD40CL,10.418024,7.6617656
ANKRD42,2.4299033,8.489393
ANKRD44,-1.9618927,6.427378
ANKRD45,4.394027,9.083927
ANKRD46,3.4101176,5.5262094
ANKRD49,5.8767734,6.259686
ANKRD50,-3.833905,5.9270773
ANKRD52,-3.1428587,10.558303
ANKRD53,9.020559,11.805852
ANKRD54,6.950366,11.934517
ANKRD55,4.6324987,9.501059
ANKRD6,-1.7813493,8.593109
ANKRD61,8.800264,8.931874
ANKRD62,0.35200274,6.0714517
ANKRD63,-1.0957329,12.760787
ANKRD65,7.3119206,12.746512
ANKRD66,8.617076,7.7920322
ANKRD7,7.9138618,6.071851
ANKRD9,-3.0991938,9.633853
ANKS1A,-2.1348908,10.931751
ANKS1B,-2.2108138,8.682486
ANKS3,4.719542,13.23819
ANKS4B,0.41775563,9.79255
ANKS6,-3.1296372,9.951349
ANKUB1,5.7591777,8.311214
ANKZF1,4.944887,11.656683
ANLN,-0.047872357,6.167258
ANO1,-0.668062,11.041248
ANO10,2.8649504,10.917954
ANO2,1.6861285,11.232184
ANO3,-1.5037119,5.9291625
ANO4,0.8563244,8.57766
ANO5,-2.3567934,5.945241
ANO6,-1.7608168,7.1400905
ANO7,-0.25466418,12.530115
ANO8,0.27849603,13.323376
ANO9,4.2777677,13.117966
ANOS1,-2.820094,7.091728
ANP32A,4.9141746,8.397965
ANP32B,8.194662,6.8798885
ANP32D,9.050974,7.4765677
ANP32E,2.427967,5.039727
ANPEP,1.4650003,12.740131
ANTKMT,11.62239,10.469555
ANTXR1,-1.773594,8.458288
ANTXR2,-3.5426424,6.7602572
ANTXRL,6.382239,11.081521
ANXA1,8.3251095,7.1347384
ANXA10,8.104899,7.204851
ANXA11,-2.8467147,9.658891
ANXA13,8.40258,8.043781
ANXA2,8.310559,8.582743
ANXA2R,10.661592,8.9396305
ANXA3,8.150384,7.2452917
ANXA4,4.5143137,7.5647774
ANXA5,7.5277734,7.6495185
ANXA6,4.0329423,11.521845
ANXA7,4.8470526,8.483174
ANXA8,6.779947,10.654951
ANXA8L1,6.9863873,10.411586
ANXA9,8.502415,9.919293
AOAH,5.167578,10.15557
AOC1,4.8642225,12.885916
AOC2,4.437893,11.441194
AOC3,0.9015205,12.085037
AOPEP,3.0578442,10.933697
AOX1,-0.28029886,9.140047
AP1AR,-1.7334216,5.799027
AP1B1,0.3713057,12.7355385
AP1G1,-2.0262365,7.123903
AP1G2,4.795552,12.597607
AP1M2,7.8848763,10.941684
AP1S1,9.977093,9.578834
AP1S2,4.5350738,5.6929164
AP1S3,0.61942196,6.3927197
AP2A1,2.4824853,13.29229
AP2A2,-0.35677442,12.352352
AP2B1,-1.2384466,9.692351
AP2M1,7.3832984,11.034191
AP2S1,11.263374,9.415773
AP3B1,1.3597115,7.4148884
AP3B2,1.2741057,12.587675
AP3D1,-1.2627535,12.142947
AP3M1,-0.5778533,7.45688
AP3M2,1.729395,9.654077
AP3S1,7.945378,6.442716
AP3S2,-1.0487531,10.386985
AP4B1,2.9092412,9.485595
AP4E1,-2.7760632,5.901653
AP4M1,1.7964667,12.703702
AP4S1,0.91668147,9.818548
AP5B1,-3.377428,9.47894
AP5S1,-1.0099111,10.928825
AP5Z1,-1.7255657,12.353154
APAF1,-2.6033273,6.3688684
APBA1,-3.0072186,10.227291
APBA2,0.72276884,12.627391
APBA3,7.388448,12.76256
APBB1,4.808492,12.842483
APBB1IP,4.614223,11.534416
APBB2,-3.6577342,6.3156486
APBB3,6.7621098,12.023252
APCDD1,1.4580964,11.339509
APCDD1L,1.199773,12.938269
APCS,9.627826,7.508505
APEH,3.943534,12.465623
APELA,4.4691877,5.6949897
APEX1,8.84309,9.255561
APEX2,2.7670004,11.364494
APH1A,7.307583,11.009954
APH1B,1.015676,7.5912986
API5,1.5057585,5.526382
APIP,8.056009,6.467756
APLF,1.262321,4.908411
APLN,2.7594864,11.878625
APLNR,1.8651918,12.242442
APLP1,5.700887,12.790665
APLP2,1.5623994,10.808154
APMAP,5.7483473,10.226898
APOA1,11.531822,10.185782
